ChEMBL ID,p-value (-log),Activity Type,Activity Relation,Activity Value,Unit,Smiles
CHEMBL226217,9.6,Ki,=,0.2,nM,Nc1nc2c(s1)C[C@H]1[C@H]3Cc4ccc(O)cc4[C@@]1(CCN3CC1CC1)C2
CHEMBL3086304,9.6,Ki,=,0.2,nM,Nc1nc2c(s1)C[C@H]1[C@H]3Cc4ccc(O)cc4[C@@]1(CCN3CC1CC1)C2
CHEMBL567175,9.6,Ki,=,0.2,nM,Oc1ccc2c3c1O[C@@H]1[C@@]43CCN([C@H](C2)[C@]4(O)Cc2c1[nH]c1c2cccc1)CC1CC1
CHEMBL302801,9.6,Ki,=,0.2,nM,CCN(CC)C(=O)c1ccc(/C(=C2/C[C@@H]3CC[C@H](C2)N3CCc2ccccc2)c2ccccc2)cc1
CHEMBL368522,9.6,Ki,=,0.2,nM,Oc1ccc2c3c1O[C@H]1c4c(c5ccccc5n4CCF)C[C@@]4(O)C(C2)N(CC2CC2)CCC314
CHEMBL569316,9.6,Ki,=,0.2,nM,CCN(CC)C(=O)c1ccc(N(c2cccc(O)c2)C2CCN(CCc3ccccn3)CC2)cc1
CHEMBL2208349,9.6,Ki,=,0.2,nM,CC1C2Cc3ccc(C(=O)NCCc4ccc(-c5ccccc5O)cc4)cc3C1(C)CCN2CC1CC1
CHEMBL210005,9.6,Ki,=,0.2,nM,C[C@H]1[C@H]2Cc3ccc(C(=O)NCCc4ccc(-c5ccccc5)cc4)cc3[C@]1(C)CCN2CC1CC1
CHEMBL302801,9.6,Ki,=,0.2,nM,CCN(CC)C(=O)c1ccc(/C(=C2/C[C@@H]3CC[C@H](C2)N3CCc2ccccc2)c2ccccc2)cc1
CHEMBL67790,9.6,Ki,=,0.3,nM,CCNC(=O)c1ccc(C(=C2CC3CCC(C2)N3Cc2cccs2)c2ccc(O)cc2)cc1
CHEMBL3758257,9.6,Ki,=,0.3,nM,N[C@@H](Cc1ccc(O)cc1)C(=O)N1Cc2ccccc2CC1CN[C@@H](Cc1ccccc1)C(=O)NC(CC1CCCCC1)C(=O)O
CHEMBL367497,9.6,Ki,=,0.3,nM,CCn1c2c(c3ccccc31)C[C@@]1(O)C3Cc4ccc(O)c5c4C1(CCN3CC1CC1)[C@H]2O5
CHEMBL2387214,9.6,Ki,=,0.3,nM,CC(C)C[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCNC(=O)NCCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1)C(=O)O
CHEMBL4076632,9.6,Ki,=,0.3,nM,O=C(Nc1ccccc1)N1C[C@H]2CC34CCC1C2C31CCN(CC2CC2)C4Cc2ccc(O)cc21
CHEMBL199832,9.6,Ki,=,0.3,nM,Oc1ccc2c(c1)[C@@]13CCCCC1[C@@H](C2)N(C[C@@H]1CCCO1)CC3
